#Anomalous Nernst coefficient  (A(m-1 K-1))
#column      1            2               3               4               5
#       Mu(eV)         T(K)       \alpha_xy       \alpha_yz       \alpha_zx
     -1.000000       20.000    0.234762E+00    0.782088E-02   -0.237643E+00
     -1.000000       29.375    0.345419E+00    0.116217E-01   -0.349236E+00
     -1.000000       38.750    0.456355E+00    0.154550E-01   -0.460763E+00
     -1.000000       48.125    0.566583E+00    0.191568E-01   -0.571240E+00
     -1.000000       57.500    0.674221E+00    0.225245E-01   -0.678820E+00
     -1.000000       66.875    0.776804E+00    0.253753E-01   -0.781086E+00
     -1.000000       76.250    0.871770E+00    0.275807E-01   -0.875529E+00
     -1.000000       85.625    0.956891E+00    0.290768E-01   -0.959976E+00
     -1.000000       95.000    0.103054E+01    0.298589E-01   -0.103284E+01
     -1.000000      104.375    0.109175E+01    0.299677E-01   -0.109322E+01
     -1.000000      113.750    0.114022E+01    0.294735E-01   -0.114082E+01
     -1.000000      123.125    0.117614E+01    0.284623E-01   -0.117588E+01
     -1.000000      132.500    0.120012E+01    0.270250E-01   -0.119902E+01
     -1.000000      141.875    0.121302E+01    0.252501E-01   -0.121113E+01
     -1.000000      151.250    0.121584E+01    0.232196E-01   -0.121323E+01
     -1.000000      160.625    0.120968E+01    0.210064E-01   -0.120642E+01
     -1.000000      170.000    0.119562E+01    0.186737E-01   -0.119179E+01
     -1.000000      179.375    0.117474E+01    0.162752E-01   -0.117042E+01
     -1.000000      188.750    0.114802E+01    0.138559E-01   -0.114330E+01
     -1.000000      198.125    0.111639E+01    0.114528E-01   -0.111135E+01
     -1.000000      207.500    0.108067E+01    0.909584E-02   -0.107539E+01
     -1.000000      216.875    0.104161E+01    0.680912E-02   -0.103616E+01
     -1.000000      226.250    0.999869E+00    0.461157E-02   -0.994317E+00
     -1.000000      235.625    0.956008E+00    0.251780E-02   -0.950422E+00
     -1.000000      245.000    0.910526E+00    0.538770E-03   -0.904961E+00
     -1.000000      254.375    0.863843E+00   -0.131764E-02   -0.858352E+00
     -1.000000      263.750    0.816317E+00   -0.304613E-02   -0.810944E+00
     -1.000000      273.125    0.768247E+00   -0.464352E-02   -0.763030E+00
     -1.000000      282.500    0.719881E+00   -0.610846E-02   -0.714853E+00
     -1.000000      291.875    0.671420E+00   -0.744106E-02   -0.666607E+00
     -1.000000      301.250    0.623028E+00   -0.864267E-02   -0.618451E+00
     -1.000000      310.625    0.574830E+00   -0.971562E-02   -0.570506E+00
     -1.000000      320.000    0.526927E+00   -0.106631E-01   -0.522865E+00
     -0.997778       20.000    0.289240E+00    0.109564E-01   -0.293476E+00
     -0.997778       29.375    0.424002E+00    0.158386E-01   -0.429763E+00
     -0.997778       38.750    0.556976E+00    0.203771E-01   -0.563849E+00
     -0.997778       48.125    0.686235E+00    0.244004E-01   -0.693781E+00
     -0.997778       57.500    0.809133E+00    0.277504E-01   -0.816921E+00
     -0.997778       66.875    0.922759E+00    0.303138E-01   -0.930398E+00
     -0.997778       76.250    0.102446E+01    0.320361E-01   -0.103162E+01
     -0.997778       85.625    0.111224E+01    0.329216E-01   -0.111864E+01
     -0.997778       95.000    0.118490E+01    0.330226E-01   -0.119036E+01
     -0.997778      104.375    0.124206E+01    0.324246E-01   -0.124643E+01
     -0.997778      113.750    0.128398E+01    0.312310E-01   -0.128719E+01
     -0.997778      123.125    0.131145E+01    0.295511E-01   -0.131349E+01
     -0.997778      132.500    0.132561E+01    0.274909E-01   -0.132649E+01
     -0.997778      141.875    0.132775E+01    0.251476E-01   -0.132754E+01
     -0.997778      151.250    0.131929E+01    0.226072E-01   -0.131805E+01
     -0.997778      160.625    0.130162E+01    0.199436E-01   -0.129945E+01
     -0.997778      170.000    0.127607E+01    0.172186E-01   -0.127307E+01
     -0.997778      179.375    0.124390E+01    0.144831E-01   -0.124018E+01
     -0.997778      188.750    0.120623E+01    0.117783E-01   -0.120190E+01
     -0.997778      198.125    0.116409E+01    0.913697E-02   -0.115925E+01
     -0.997778      207.500    0.111837E+01    0.658493E-02   -0.111314E+01
     -0.997778      216.875    0.106986E+01    0.414195E-02   -0.106432E+01
     -0.997778      226.250    0.101923E+01    0.182286E-02   -0.101348E+01
     -0.997778      235.625    0.967061E+00   -0.361572E-03   -0.961183E+00
     -0.997778      245.000    0.913845E+00   -0.240399E-02   -0.907909E+00
     -0.997778      254.375    0.859988E+00   -0.429980E-02   -0.854061E+00
     -0.997778      263.750    0.805829E+00   -0.604669E-02   -0.799968E+00
     -0.997778      273.125    0.751644E+00   -0.764422E-02   -0.745898E+00
     -0.997778      282.500    0.697657E+00   -0.909346E-02   -0.692067E+00
     -0.997778      291.875    0.644041E+00   -0.103967E-01   -0.638643E+00
     -0.997778      301.250    0.590933E+00   -0.115573E-01   -0.585753E+00
     -0.997778      310.625    0.538432E+00   -0.125793E-01   -0.533491E+00
     -0.997778      320.000    0.486609E+00   -0.134675E-01   -0.481923E+00
     -0.995556       20.000    0.343477E+00    0.139899E-01   -0.348851E+00
     -0.995556       29.375    0.502064E+00    0.198966E-01   -0.509483E+00
     -0.995556       38.750    0.656577E+00    0.250684E-01   -0.665582E+00
     -0.995556       48.125    0.804098E+00    0.293302E-01   -0.814168E+00
     -0.995556       57.500    0.941223E+00    0.325767E-01   -0.951820E+00
     -0.995556       66.875    0.106466E+01    0.347723E-01   -0.107527E+01
     -0.995556       76.250    0.117177E+01    0.359426E-01   -0.118194E+01
     -0.995556       85.625    0.126088E+01    0.361638E-01   -0.127023E+01
     -0.995556       95.000    0.133132E+01    0.355465E-01   -0.133957E+01
     -0.995556      104.375    0.138332E+01    0.342207E-01   -0.139027E+01
     -0.995556      113.750    0.141779E+01    0.323216E-01   -0.142333E+01
     -0.995556      123.125    0.143611E+01    0.299793E-01   -0.144019E+01
     -0.995556      132.500    0.143993E+01    0.273125E-01   -0.144256E+01
     -0.995556      141.875    0.143100E+01    0.244251E-01   -0.143225E+01
     -0.995556      151.250    0.141110E+01    0.214048E-01   -0.141104E+01
     -0.995556      160.625    0.138190E+01    0.183246E-01   -0.138066E+01
     -0.995556      170.000    0.134496E+01    0.152433E-01   -0.134265E+01
     -0.995556      179.375    0.130169E+01    0.122077E-01   -0.129846E+01
     -0.995556      188.750    0.125335E+01    0.925445E-02   -0.124932E+01
     -0.995556      198.125    0.120104E+01    0.641142E-02   -0.119634E+01
     -0.995556      207.500    0.114570E+01    0.369956E-02   -0.114046E+01
     -0.995556      216.875    0.108815E+01    0.113404E-02   -0.108248E+01
     -0.995556      226.250    0.102906E+01   -0.127463E-02   -0.102309E+01
     -0.995556      235.625    0.969030E+00   -0.351969E-02   -0.962838E+00
     -0.995556      245.000    0.908521E+00   -0.559742E-02   -0.902203E+00
     -0.995556      254.375    0.847928E+00   -0.750651E-02   -0.841561E+00
     -0.995556      263.750    0.787567E+00   -0.924763E-02   -0.781220E+00
     -0.995556      273.125    0.727687E+00   -0.108230E-01   -0.721419E+00
     -0.995556      282.500    0.668483E+00   -0.122360E-01   -0.662344E+00
     -0.995556      291.875    0.610103E+00   -0.134910E-01   -0.604133E+00
     -0.995556      301.250    0.552651E+00   -0.145933E-01   -0.546884E+00
     -0.995556      310.625    0.496201E+00   -0.155486E-01   -0.490663E+00
     -0.995556      320.000    0.440795E+00   -0.163630E-01   -0.435506E+00
     -0.993333       20.000    0.396888E+00    0.167499E-01   -0.403186E+00
     -0.993333       29.375    0.578595E+00    0.235483E-01   -0.587380E+00
     -0.993333       38.750    0.753651E+00    0.292263E-01   -0.764431E+00
     -0.993333       48.125    0.918142E+00    0.336143E-01   -0.930331E+00
     -0.993333       57.500    0.106797E+01    0.366656E-01   -0.108094E+01
     -0.993333       66.875    0.119957E+01    0.384240E-01   -0.121270E+01
     -0.993333       76.250    0.131046E+01    0.389958E-01   -0.132318E+01
     -0.993333       85.625    0.139937E+01    0.385273E-01   -0.141122E+01
     -0.993333       95.000    0.146626E+01    0.371856E-01   -0.147687E+01
     -0.993333      104.375    0.151202E+01    0.351424E-01   -0.152114E+01
     -0.993333      113.750    0.153821E+01    0.325614E-01   -0.154569E+01
     -0.993333      123.125    0.154680E+01    0.295909E-01   -0.155257E+01
     -0.993333      132.500    0.153994E+01    0.263592E-01   -0.154401E+01
     -0.993333      141.875    0.151982E+01    0.229740E-01   -0.152225E+01
     -0.993333      151.250    0.148853E+01    0.195233E-01   -0.148942E+01
     -0.993333      160.625    0.144800E+01    0.160770E-01   -0.144748E+01
     -0.993333      170.000    0.139999E+01    0.126898E-01   -0.139821E+01
     -0.993333      179.375    0.134605E+01    0.940345E-02   -0.134315E+01
