# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
      0.3771992412     -0.0172891156     -0.3152397465      0.0000000009      0.0338620044     -0.5008082364     -0.2337594873      0.4891043759
      0.3771992409      0.0172891154     -0.3152397471      0.0000000009      0.0338620049     -0.4891043765     -0.2454633485      0.5008082369
     -0.0172891158      0.3771992408      0.3152397468      0.0000000007      0.0338620051      0.5008082367      0.2337594877     -0.2454633483
     -0.0023935333      0.7572699616      0.0000000008      0.0000000008      0.0842252832      0.2571269637     -0.2571269619      0.2555066604
      0.0023935333      0.7572699613      0.0000000008      0.0000000006      0.0842252839      0.2555066622     -0.2555066602      0.2571269617
     -0.3771992415     -0.0172891159      0.3152397465      0.0000000006      0.0338620040      0.4891043759      0.2454633478     -0.5008082366
     -0.0172891156     -0.3771992406     -0.3152397472      0.0000000009      0.0338620053     -0.4891043765     -0.2454633488      0.2337594883
      0.0172891158     -0.3771992408     -0.3152397469      0.0000000005      0.0338620051     -0.5008082368     -0.2337594878      0.2454633484
      0.7572699615      0.0023935334      0.0000000005      0.0000000009      0.0842252833     -0.2555066607      0.2555066618      0.2571269622
      0.2691254756      0.3582391201     -0.0000000000      0.0000000005      0.0727716294      0.0301627245     -0.0301627245      0.2123471170
     -0.7572699614     -0.0023935333      0.0000000004      0.0000000004      0.0842252838      0.2555066617     -0.2555066608     -0.2571269632
     -0.3771992409      0.0172891157      0.3152397467      0.0000000007      0.0338620049      0.5008082366      0.2337594876     -0.4891043761
     -0.7572699613      0.0023935333      0.0000000003      0.0000000007      0.0842252838      0.2571269631     -0.2571269623     -0.2555066616
      0.0172891156      0.3771992415      0.3152397468      0.0000000006      0.0338620040      0.4891043763      0.2454633480     -0.2337594875
      0.0023935331     -0.7572699613     -0.0000000017      0.0000000009      0.0842252840     -0.2571269646      0.2571269606     -0.2555066593
      0.7572699618     -0.0023935333     -0.0000000001      0.0000000010      0.0842252829     -0.2571269629      0.2571269628      0.2555066614
     -0.0023935332     -0.7572699615      0.0000000018      0.0000000007      0.0842252836     -0.2555066592      0.2555066633     -0.2571269648
     -0.3771992411     -0.0172891160     -0.3152397467      0.0000000009      0.0338620043     -0.2454633482     -0.4891043760      0.2337594874
      0.0172891154      0.3771992410     -0.3152397472      0.0000000009      0.0338620046     -0.2454633486     -0.4891043767      0.5008082371
     -0.0172891158      0.3771992407     -0.3152397471      0.0000000007      0.0338620050     -0.2337594881     -0.5008082371      0.4891043764
      0.2601689436     -0.3249176493      0.0000000003      0.0000000009      0.0466792946     -0.1980370774      0.1980370781     -0.0219158067
      0.3582391206     -0.2691254755     -0.0000000001      0.0000000008      0.0727716294     -0.2123471172      0.2123471171      0.0301627248
     -0.3771992410      0.0172891155     -0.3152397470      0.0000000006      0.0338620047     -0.2337594880     -0.5008082370      0.2454633484
      0.2691254756     -0.3582391203     -0.0000000002      0.0000000008      0.0727716293     -0.2123471173      0.2123471169     -0.0301627244
      0.3249176495     -0.2601689433      0.0000000000      0.0000000006      0.0466792949     -0.1980370777      0.1980370777      0.0219158065
     -0.2691254755     -0.3582391206      0.0000000001      0.0000000008      0.0727716294     -0.0301627247      0.0301627248     -0.2123471172
     -0.3582391202     -0.2691254755      0.0000000002      0.0000000009      0.0727716293      0.0301627248     -0.0301627244     -0.2123471172
      0.3582391204      0.2691254754      0.0000000002      0.0000000010      0.0727716293     -0.0301627245      0.0301627249      0.2123471169
     -0.2601689435     -0.3249176494      0.0000000002      0.0000000005      0.0466792948     -0.0219158062      0.0219158066     -0.1980370779
     -0.3249176492     -0.2601689435     -0.0000000000      0.0000000007      0.0466792946      0.0219158063     -0.0219158064     -0.1980370776
      0.3249176496      0.2601689432      0.0000000001      0.0000000008      0.0466792948     -0.0219158064      0.0219158067      0.1980370776
      0.2601689433      0.3249176497     -0.0000000000      0.0000000009      0.0466792948      0.0219158066     -0.0219158066      0.1980370778
      0.3771992418      0.0172891156      0.3152397463      0.0000000009      0.0338620036      0.2454633474      0.4891043759     -0.2337594869
      0.3771992406     -0.0172891156      0.3152397470      0.0000000009      0.0338620052      0.2337594881      0.5008082368     -0.2454633486
      0.0172891161     -0.3771992412      0.3152397465      0.0000000010      0.0338620043      0.2337594871      0.5008082366     -0.4891043757
     -0.0172891156     -0.3771992408      0.3152397470      0.0000000007      0.0338620051      0.2454633484      0.4891043763     -0.5008082368
     -0.3249176496      0.2601689433     -0.0000000001      0.0000000008      0.0466792948      0.1980370776     -0.1980370779     -0.0219158064
     -0.2601689433      0.3249176493     -0.0000000002      0.0000000007      0.0466792947      0.1980370774     -0.1980370779      0.0219158067
     -0.3582391203      0.2691254754      0.0000000000      0.0000000006      0.0727716295      0.2123471170     -0.2123471170     -0.0301627247
     -0.2691254755      0.3582391202      0.0000000000      0.0000000005      0.0727716295      0.2123471171     -0.2123471170      0.0301627246
