             # klen              E(eV)
     0.000000000    -2.567775085
     0.007009492    -2.567684974
     0.014018985    -2.567419526
     0.021028477    -2.566993162
     0.028037969    -2.566429154
     0.035047461    -2.565758424
     0.042056954    -2.565017008
     0.049066446    -2.569023679
     0.056075938    -2.563280397
     0.063085430    -2.559529232
     0.070094923    -2.525174080
     0.077104415    -2.516161984
     0.084113907    -2.558105863
     0.091123400    -2.561795736
     0.098132892    -2.562230713
     0.105142384    -2.562998657
     0.112151876    -2.614967493
     0.119161369    -2.602123746
     0.126170861    -2.590918926
     0.133180353    -2.581378362
     0.140189845    -2.573694509
     0.140189845    -2.573694509
     0.154208830    -2.582015137
     0.168227814    -2.593777333
     0.182246798    -2.609890982
     0.196265783    -2.572864442
     0.210284767    -2.488671784
     0.224303751    -2.496705561
     0.238322736    -2.522714728
     0.252341720    -2.544060296
     0.266360704    -2.562365078
     0.280379689    -2.578836231
     0.294398673    -2.594256845
     0.308417657    -2.311359427
     0.322436642    -2.352559819
     0.336455626    -2.538347145
     0.350474611    -2.448249145
     0.364493595    -2.502301487
     0.378512579    -2.560228248
     0.392531564    -2.569154204
     0.406550548    -2.073889124
     0.420569532    -2.002510816
     0.420569532    -2.002510816
     0.432710450    -2.073498868
     0.444851368    -2.550452653
     0.456992286    -2.493939741
     0.469133204    -2.575652991
     0.481274122    -2.539588337
     0.493415040    -2.536644452
     0.505555958    -2.515305775
     0.517696876    -2.486083063
     0.529837794    -2.455974202
     0.541978712    -2.449236480
     0.554119630    -2.496597197
     0.566260548    -2.543946484
     0.578401466    -2.590754710
     0.590542384    -2.636819090
     0.602683302    -2.653983147
     0.614824220    -2.623815059
     0.626965139    -2.600053326
     0.639106057    -2.582292573
     0.651246975    -2.571432589
     0.663387893    -2.567775085
  
     0.000000000    -2.567533843
     0.007009492    -2.567443965
     0.014018985    -2.567179221
     0.021028477    -2.566754059
     0.028037969    -2.566191834
     0.035047461    -2.565523773
     0.042056954    -2.564787600
     0.049066446    -2.564184631
     0.056075938    -2.531514192
     0.063085430    -2.495185881
     0.070094923    -2.473555885
     0.077104415    -2.514123529
     0.084113907    -2.556498292
     0.091123400    -2.561592769
     0.098132892    -2.562029808
     0.105142384    -2.562801804
     0.112151876    -2.564156186
     0.119161369    -2.565748436
     0.126170861    -2.567820686
     0.133180353    -2.570421590
     0.140189845    -2.573437449
     0.140189845    -2.573437449
     0.154208830    -2.581855260
     0.168227814    -2.593628268
     0.182246798    -2.562719460
     0.196265783    -2.571216272
     0.210284767    -2.488628762
     0.224303751    -2.496570148
     0.238322736    -2.522620392
     0.252341720    -2.543995543
     0.266360704    -2.562320486
     0.280379689    -2.578805134
     0.294398673    -2.594234789
     0.308417657    -2.219317659
     0.322436642    -2.279853534
     0.336455626    -2.538262949
     0.350474611    -2.442669245
     0.364493595    -2.457562201
     0.378512579    -2.514531416
     0.392531564    -2.569086411
     0.406550548    -2.073768209
     0.420569532    -2.002508384
     0.420569532    -2.002508384
     0.432710450    -2.038559402
     0.444851368    -2.548019323
     0.456992286    -2.491156867
     0.469133204    -2.437761392
     0.481274122    -2.539021989
     0.493415040    -2.505597816
     0.505555958    -2.474301341
     0.517696876    -2.445673952
     0.529837794    -2.419730146
     0.541978712    -2.427936743
     0.554119630    -2.396301654
     0.566260548    -2.363939747
     0.578401466    -2.343434608
     0.590542384    -2.411596573
     0.602683302    -2.498161207
     0.614824220    -2.585503466
     0.626965139    -2.599643108
     0.639106057    -2.581961304
     0.651246975    -2.571165240
     0.663387893    -2.567533843
  
     0.000000000    -2.301584507
     0.007009492    -2.301417119
     0.014018985    -2.300914698
     0.021028477    -2.300076793
     0.028037969    -2.298904476
     0.035047461    -2.297415316
     0.042056954    -2.308838882
     0.049066446    -2.564025667
     0.056075938    -2.390339577
     0.063085430    -2.431768158
     0.070094923    -2.472073334
     0.077104415    -2.491599804
     0.084113907    -2.459985164
     0.091123400    -2.429676227
     0.098132892    -2.400866196
     0.105142384    -2.373612400
     0.112151876    -2.563963806
     0.119161369    -2.565560735
     0.126170861    -2.567637853
     0.133180353    -2.570244124
     0.140189845    -2.573434586
     0.140189845    -2.573434586
     0.154208830    -2.562949029
     0.168227814    -2.559323852
     0.182246798    -2.382048138
     0.196265783    -2.425791796
     0.210284767    -2.464489750
     0.224303751    -2.404749202
     0.238322736    -2.321216437
     0.252341720    -2.238145952
     0.266360704    -2.217190825
     0.280379689    -2.243412780
     0.294398673    -2.274893808
     0.308417657    -2.219070172
     0.322436642    -2.279711669
     0.336455626    -2.398261880
     0.350474611    -2.442579935
     0.364493595    -2.457469364
     0.378512579    -2.514451145
     0.392531564    -2.521098082
     0.406550548    -1.984718266
     0.420569532    -1.974840606
     0.420569532    -1.974840606
     0.432710450    -2.019239292
     0.444851368    -2.162619138
     0.456992286    -2.253807485
     0.469133204    -2.434671306
     0.481274122    -2.440929021
     0.493415040    -2.505108677
     0.505555958    -2.473872219
     0.517696876    -2.445287257
     0.529837794    -2.419368741
     0.541978712    -2.423818435
     0.554119630    -2.392289630
     0.566260548    -2.360602149
     0.578401466    -2.343095028
     0.590542384    -2.330846589
     0.602683302    -2.320890828
     0.614824220    -2.313310018
     0.626965139    -2.307857591
     0.639106057    -2.304256012
     0.651246975    -2.302233199
     0.663387893    -2.301584507
  
     0.000000000    -2.301180039
     0.007009492    -2.301012201
     0.014018985    -2.300508396
     0.021028477    -2.299668050
     0.028037969    -2.298491817
     0.035047461    -2.296993928
     0.042056954    -2.306597654
     0.049066446    -2.349332987
     0.056075938    -2.388259690
     0.063085430    -2.429758034
     0.070094923    -2.459569796
     0.077104415    -2.425789890
     0.084113907    -2.393005549
     0.091123400    -2.361517537
     0.098132892    -2.331394312
     0.105142384    -2.302698092
     0.112151876    -2.347961034
     0.119161369    -2.323953220
     0.126170861    -2.301626141
     0.133180353    -2.281016310
     0.140189845    -2.263141504
     0.140189845    -2.263141504
     0.154208830    -2.292668771
     0.168227814    -2.336110283
     0.182246798    -2.381704764
     0.196265783    -2.425537783
     0.210284767    -2.464300437
     0.224303751    -2.404719073
     0.238322736    -2.321187494
     0.252341720    -2.238098651
     0.266360704    -2.155575858
     0.280379689    -2.130155394
     0.294398673    -2.162233522
     0.308417657    -2.197548331
