Space group operators:
 irot       det(A)        alpha          n_x          n_y          n_z        tau_x        tau_y        tau_z
    1     1.000000     0.000001     1.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    2     1.000000   180.000000     0.000000     0.000000     1.000000     0.000000     0.000000     0.000000
    3    -1.000000   180.000000     0.000000     1.000000     0.000000     0.000000     0.000000     0.000000
    4    -1.000000   180.000000     1.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    5     1.000000    90.000000     0.000000     0.000000    -1.000000     0.750000     0.250000     0.500000
    6     1.000000    90.000000     0.000000     0.000000     1.000000     0.750000     0.250000     0.500000
    7    -1.000000   180.000000     0.707107     0.707107     0.000000     0.750000     0.250000     0.500000
    8    -1.000000   180.000000     0.707107    -0.707107     0.000000     0.750000     0.250000     0.500000



